key,exercise_name,exercise_difficulty,exercise_type,image_name,directions,w_muscles,exercise_equipment
ei,Bent Press,Expert,Strength,196_2.jpg,"1. Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulders by extending through the legs and hips as you raise the kettlebell towards your shoulder. The wrist should rotate as you do so. This will be your starting position.
2. Begin my leaning to the side opposite the kettlebell, continuing until you are able to touch the ground with your free hand, keeping your eyes on the kettlebell. As you do so, press the weight vertically be extending through the elbow, keeping your arm perpendicular to the ground.
3. Return to an upright position, with the kettlebell above your head. Return the kettlebell to the shoulder and repeat for the desired number of repetitions.",Abs%Glutes%Hamstrings%Lower Back%Quadriceps%Shoulders%Triceps,Kettlebells
Iw,Bent Knee Hip Raise,Beginner,Strength,118_2.jpg,"1.Lay flat on the floor with your arms next to your sides.
2. Now bend your knees at around a 75 degree angle and lift your feet off the floor by around 2 inches.
3. Using your lower abs, bring your knees in towards you as you maintain the 75 degree angle bend in your legs. Continue this movement until you raise your hips off of the floor by rolling your pelvis backward. Breathe out as you perform this portion of the movement. Tip: At the end of the movement your knees will be over your chest.
4. Squeeze your abs at the top of the movement for a second and then return to the starting position slowly as you breathe in. Tip: Maintain a controlled motion at all times.
5. Repeat for the recommended amount of repetitions.",Abs,Body Only
h1,Bosu Ball Cable Crunch with Side Bends,Beginner,Strength,932_2.jpg,"1. Connect a standard handle to each arm of a cable machine, and position them in the most downward position.
2. Grab a Bosu Ball and position it in front and center of the cable machine.
3. Lie down on the Bosu Ball with the small of your back arched around the ball. Your rear end should be close to the floor without touching it.
4. With both hands, reach back and grab the handle of each cable.
5. With your feet positioned in a wide stance, extend your arms straight out in front of you and in between your knees. Your hands should be at knee level.
6. Keep your arms straight and in-line with the upward angle of the cable. Elevate your torso in a crunching motion without dropping or bending your arms.
7. Maintain the rigid position with your arms. Slowly descend back to the starting position with your back arched around the Bosu Ball and your abdominals elongated.
8. Repeat the same series of movements to failure.
9. Once you reach failure, keep your abs tight and raise your torso into plank position so your back is elevated off the Bosu Ball.
10. Lower your arms down to your side; keep them straight. Start doing alternating side bends; reach for your heels! This finishing movement will focus on your obliques.",Abs,Exercise Ball%Cable Machine
vy,Bosu Ball Crunch,Beginner,Strength,3981_2.jpg,"1. Lay with the small of your back against the round side of a Bosu ball. Your knees should be bent with your feet flat on the ground. Fold your arms across your chest. This will be your starting position.
2. Perform the movement by flexing the lumbar spine raising your torso. Do not flex the hips.
3. At the top of the motion pause, and then return to the starting position.",Abs,Exercise Ball
up,Bottoms Up,Beginner,Strength,2021_3.jpg,"1. Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position.
2. To perform the movement, tuck the knees toward your chest by flexing the hips and knees. Following this, extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor.
3. After a brief pause, return to the starting position.",Abs,Body Only
ku,Ankle Circles,Beginner,Stretching,501_1.jpg,"1. Use a sturdy object like a squat rack to hold yourself.
2. Lift the right leg in the air (just around 2 inches from the floor) and perform a circular motion with the big toe. Pretend that you are drawing a big circle with it. Tip: One circle equals 1 repetition. Breathe normally as you perform the movement.
3. When you are done with the right foot, then repeat with the left leg.",Calves,Body Only
HH,Anterior Tibialis-SMR,Intermediate,Stretching,632_2.jpg,"1.Begin seated on the ground with your legs bent and your feet on the floor.
2. Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg.",Calves,Muscle Roller
3J,Balance Board,Beginner,Strength,263_3.jpg,"1. Place a balance board in front of you.
2. Stand up on it and try to balance yourself.
3. Hold the balance for as long as desired.
Caution: If your balance is poor, start out with one of the less challenging boards.",Calves%Hamstrings%Quadriceps,Balance Board
hy,Barbell Seated Calf Raise,Beginner,Strength,176_2.jpg,"1. Place a block about 12 inches in front of a flat bench.
2. Sit on the bench and place the ball of your feet on the block.
3. Have someone place a barbell over your upper thighs about 3 inches above your knees and hold it there. This will be your starting position.
4. Raise up on your toes as high as possible as you squeeze the calves and as you breathe out.
5. After a second contraction, slowly go back to the starting position. Tip: To get maximum benefit stretch your calves as far as you can.
6. Repeat for the recommended amount of repetitions.",Calves,Barbell
6O,Calf Press,Beginner,Strength,862_2.jpg,"1. Adjust the seat so that your legs are only slightly bent in the start position. The balls of your feet should be firmly on the platform.
2. Select an appropriate weight, and grasp the handles. This will be your starting position.
3. Straighten the legs by extending the knees, just barely lifting the weight from the stack. Your ankle should be fully flexed, toes pointing up. Execute the movement by pressing downward through the balls of your feet as far as possible.
4. After a brief pause, reverse the motion and repeat.",Calves,Calf Press Machine
5L,Calf Press on Leg Press Machine,Beginner,Strength,215_1.jpg,"1. Using a leg press machine, sit down on the machine and place your legs on the platform directly in front of you at a medium (shoulder width) foot stance.
2. Lower the safety bars holding the weighted platform in place and press the platform all the way up until your legs are fully extended in front of you without locking your knees. (Note: In some leg press units you can leave the safety bars on for increased safety. If your leg press unit allows for this, then this is the preferred method of performing the exercise.) Your torso and the legs should make perfect 90-degree angle. Now carefully place your toes and balls of your feet on the lower portion of the platform with the heels extending off. Toes should be facing forward, outwards or inwards as described at the beginning of the chapter. This will be your starting position.
3. Press on the platform by raising your heels as you breathe out by extending your ankles as high as possible and flexing your calf. Ensure that the knee is kept stationary at all times. There should be no bending at any time. Hold the contracted position by a second before you start to go back down.
4. Go back slowly to the starting position as you breathe in by lowering your heels as you bend the ankles until calves are stretched.
5. Repeat for the recommended amount of repetitions.
Caution: Be very cautious as you place the feet in the bottom part of the platform as if you slip and the safety bars are not locked then you could suffer a serious accident.",Calves,Leg Press Machine
yN,Calf Raise On a Dumbbell,Intermediate,Strength,242_2.jpg,"1. Hang on to a sturdy object for balance and stand on a dumbbell handle, preferably one with round plates so that it rolls as in this manner you have to work harder to stabilize yourself; thus increasing the effectiveness of the exercise.
2. Now roll your foot slightly forward so that you can get a nice stretch of the calf. This will be your starting position.
3. Lift the calf as you roll your foot over the top of the handle so that you get a full extension. Exhale during the execution of this movement. 4. Contract the calf hard at the top and hold for a second. Tip: As you come up, roll the dumbbell slightly backward.
4. Now inhale as you roll the dumbbell slightly forward as you come down to get a better stretch.
5. Repeat for the recommended amount of repetitions.",Calves,Dumbbell
d8,Calf Raise With Band,Beginner,Strength,253_3.jpg,"1. Grab an exercise band and stand on it with your toes making sure that the length of the band between the foot and the arms is the same for both sides.
2. While holding the handles of the band, raise the arms to the side of your head as if you were getting ready to perform a shoulder press. The palms should be facing forward with the elbows bent and to the sides. This movement will create tension on the band. This will be your starting position.
3. Keeping the hands by your shoulder, stand up on your toes as you exhale and contract the calves hard at the top of the movement.
4. After a one second contraction, slowly go back down to the starting position.
5. Repeat for the recommended amount of repetitions.",Calves,Bands
b6,Calf Stretch Elbows Against Wall,Beginner,Stretching,479_2.jpg,"1. Stand facing a wall from a couple feet away.
2. Lean against the wall, placing your weight on your forearms.
3. Attempt to keep your heels on the ground. Hold for 10-20 seconds. You may move further or closer the wall, making it more or less difficult, respectively.",Calves,Body Only
7J,Calf Stretch Hands Against Wall,Beginner,Stretching,480_1.jpg,"1. Stand facing a wall from several feet away. Stagger your stance, placing one foot forward.
2. Lean forward and rest your hands on the wall, keeping your heel, hip and head in a straight line.
3. Attempt to keep your heel on the ground. Hold for 10-20 seconds and then switch sides.",Calves,Body Only
WL,Calves-SMR,Intermediate,Stretching,625_1.jpg,"1. Begin seated on the floor. Place a foam roller underneath your lower leg. Your other leg can either be crossed over the opposite or be placed on the floor, supporting some of your weight. This will be your starting position.
2. Place your hands to your side or just behind you, and press down to raise your hips off of the floor, placing much of your weight against your calf muscle. Roll from below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat for the other leg.",Calves,Foam Roll
gw,Donkey Calf Raises,Intermediate,Strength,296_2.jpg,"1. For this exercise you will need access to a donkey calf raise machine. Start by positioning your lower back and hips under the padded lever provided. The tailbone area should be the one making contact with the pad.
2. Place both of your arms on the side handles and place the balls of your feet on the calf block with the heels extending off. Align the toes forward, inward or outward, depending on the area you wish to target, and straighten the knees without locking them. This will be your starting position. 3.Raise your heels as you breathe out by extending your ankles as high as possible and flexing your calf. Ensure that the knee is kept stationary at all times. There should be no bending at any time. Hold the contracted position by a second before you start to go back down.
4. Go back slowly to the starting position as you breathe in by lowering your heels as you bend the ankles until calves are stretched.
5. Repeat for the recommended amount of repetitions.",Calves,Donkey Calf Raise Machine
Lc,Dumbbell Seated One Leg Calf Raise,Beginner,Strength,175_2.jpg,"1. Place a block on the floor about 12 inches from a flat bench.
2. Sit on a flat bench and place a dumbbell on your upper left thigh about 3 inches above your knee.
3. Now place the ball of your left foot on the block. This will be your starting position.
4. Raise your toes up as high as possible as you exhale and you contract your calf muscle. Hold the contraction for a second.
5. Slowly return to the starting position, stretching as far down as possible.
6. Repeat for your prescribed number of repetitions and then repeat with the right leg.",Calves,Dumbbell
dj,Foot-SMR,Intermediate,Stretching,626_1.jpg,"1. This exercise stretches the fascia of the muscles in the feet. Start off seated with your shoes removed. Using a foot roller or a similar object, such as a small section of pvc pipe, place your foot against the roller across the arch of your foot. This will be your starting position.
2. Press down firmly, rolling across the arch of your foot. Hold for 10-30 seconds, and then switch feet.",Calves,Foot Roller
2N,Knee Circles,Beginner,Stretching,264_2.jpg,"1. Stand with your legs together and hands by your waist.
2. Now move your knees in a circular motion as you breathe normally.
3. Repeat for the recommended amount of repetitions.",Calves%Hamstrings%Quadriceps,Body Only
UP,90/90 Hamstring,Beginner,Stretching,578_2.jpg,"1. Lie on your back, with one leg extended straight out.
2. With the other leg, bend the hip and knee to 90 degrees. You may brace your leg with your hands if necessary. This will be your starting position.
3. Extend your leg straight into the air, pausing briefly at the top. Return the leg to the starting position.
4. Repeat for 10-20 repetitions, and then switch to the other leg.",Calves,Body Only
tW,Alternating Hang Clean,Intermediate,Strength,544_3.jpg,"1. Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.
2. Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so.
3. Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.",Hamstings%Biceps%Calves%Forearms%Glutes%Lower Back%Traps,Kettlebells
dJ,Alternating Leg Swing,Beginner,Stretching,3691_1.jpg,"1. This warm-up move is done in an open area of the workout floor.
2. Standing upright, take a few steps forward and kick one leg straight out in front of you as high as you can.
3. Simultaneously extend the opposite-side arm out and touch your foot as you move forward.
4. Take a few more steps and repeat to the opposite side.",Hamstring%Glutes%Calves%Lower Back,Body Only
Dr,Ball Leg Curl,Beginner,Strength,861_2.jpg,"1. Begin on the floor laying on your back with your feet on top of the ball.
2. Position the ball so that when your legs are extended your ankles are on top of the ball. This will be your starting position.
3. Raise your hips off of the ground, keeping your weight on the shoulder blades and your feet.
4. Flex the knees, pulling the ball as close to you as you can, contracting the hamstrings.
5. After a brief pause, return to the starting position.",Hamstrings%Calves%Glutes,Exercise Ball
pO,Band Good Morning,Beginner,Powerlifting,729_1.jpg,"1. Using a 41 inch band, stand on one end, spreading your feet a small amount. Bend at the hips to loop the end of the band behind your neck. This will be your starting position.
2. Keeping your legs straight, extend through the hips to come to a near vertical position.
3. Ensure that you do not round your back as you go down back to the starting position.",Glutes%Lower Back%Hamstrings,Bands
Nc,Band Good Morning(Pull Through),Beginner,Powerlifting,740_1.jpg,"1. Loop the band around a post. Standing a little ways away, loop the opposite end around the neck. Your hands can help hold the band in position.
2. Begin by bending at the hips, getting your butt back as far as possible. Keep your back flat and bend forward to about 90 degrees. Your knees should be only slightly bent.
3. Return to the starting position be driving through with the hips to come back to a standing position.",Glutes%Lower Back%Hamstrings,Bands
tA,Barbell Deadlift,Intermediate,Strength,3831_2.jpg,"1. Approach the bar so that it is centered over your feet. Your feet should be about hip-width apart. Bend at the hip to grip the bar at shoulder-width allowing your shoulder blades to protract. Typically, you would use an alternating grip.
2. With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head. Keep your chest up and your back arched, and begin driving through the heels to move the weight upward.
3. After the bar passes the knees aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
4. Lower the bar by bending at the hips and guiding it to the floor.",Hamstrings%Calves%Glutes%Lower Back,Barbell
G0,Box Jump(Multiple Response),Beginner,Plyometrics,766_2.jpg,"1. Assume a relaxed stance facing the box or platform approximately an arm's length away. Arms should be down at the sides and legs slightly bent.
2. Using the arms to aid in the initial burst, jump upward and forward, landing with feet simultaneously on top of the box or platform.
3. Immediately drop or jump back down to the original starting place; then repeat the sequence.",Hamstrings%Abductors%Adductors%Calves%Glutes%Quadriceps,Platform
4K,Box Skip,Beginner,Plyometrics,767_3.jpg,"1. You will need several boxes lined up about 8 feet apart.
2. Begin facing the first box with one leg slightly behind the other.
3. Drive off the back leg, attempting to gain as much height with the hips as possible.
4. Immediately upon landing on the box, drive the other leg forward and upward to gain height and distance, leaping from the box. Land between the first two boxes with the same leg that landed on the first box.
5. Then, step to the next box and repeat.",Hamstrings%Abductors%Adductors%Calves%Glutes%Quadriceps,Platform
3H,Chair Leg Extended Stretch,Beginner,Stretching,486_3.jpg,"1. Sit upright in a chair and grip the seat on the sides.
2. Raise one leg, extending the knee, flexing the ankle as you do so.
3. Slowly move that leg outward as far as you can, and then back to the center and down.
4. Repeat for your other leg.",Hamstrings%Adductors,Chair
nC,Clean,Intermediate,Olympic Weightlifting,669_3.jpg,"1. With a barbell on the floor close to the shins, take an overhand (or hook) grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.
2. Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight. Move the weight with control as you continue to above the knees.
3. Next comes the second pull, the main source of acceleration for the clean. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight; at the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.
4. As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. 5. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.
6. Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.",Hamstrings%Calves%Glutes%Lower Back%Quadriceps%Shoulders%Traps,Barbell
l8,Clean Deadlift,Beginner,Olympic Weightlifting,671_2.jpg,"1. Begin standing with a barbell close to your shins. Your feet should be directly under your hips with your feet turned out slightly. Grip the bar with a double overhand grip or hook grip, about shoulder width apart. Squat down to the bar. Your spine should be in full extension, with a back angle that places your shoulders in front of the bar and your back as vertical as possible.
2. Begin by driving through the floor through the front of your heels. As the bar travels upward, maintain a constant back angle. Flare your knees out to the side to help keep them out of the bar's path.
3. After the bar crosses the knees, complete the lift by driving the hips into the bar until your hips and knees are extended.",Hamstrings%Forearms%Glutes%Lower Back%Middle Back%Quadriceps%Traps,Barbell
z1,Double Kettlebell Alternating Hang Clean,Intermediate,Strength,553_2.jpg,"1. Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.
2. Clean one kettlebell to your shoulder and hold on to the other kettlebell.
3. With a fluid motion, lower the top kettlebell while driving the bottom kettlebell up.",Hamstrings%Biceps%Calves%Forearms%Glutes%Lower Back%Quadriceps%Traps,Kettlebells
97,Dumbbell Clean,Intermediate,Strength,2271_3.jpg,"1. Begin standing with a dumbbell in each hand with your feet shoulder width apart.
2. Lower the weights to the floor by flexing at the hips and knees, pushing your hips back until the dumbbells reach the floor. This will be your starting position.
3. To initiate the movement, violently jump upward by extending the hips, knees, and ankles to acclerate the weights upward. Maintaining a neutral grip on the dumbbells, keep the arms straight until full extension is reached.
4. After full extension, rebend the hips and knees to receive the weight in a squat position. Allow the arms to bend, guiding the dumbbells to your shoulders.
5. Upon receiving the weight in the squat position, extend the hips and knees to finish in a standing position with the weights on your shoulders.",Hamstrings%Calves%Forearms%Glutes%Lower Back%Quadriceps%Shoulders%Traps,Dumbbell
ed,Floor Glute-Ham Raise,Intermediate,Strength,1121_4.jpg,"1. You can use a partner for this exercise or brace your feet under something stable.
2. Begin on your knees with your upper legs and torso upright. If using a partner, they will firmly hold your feet to keep you in position. This will be your starting position.
3. Lower yourself by extending at the knee, taking care to NOT flex the hips as you go forward.
4. Place your hands in front of you as you reach the floor. This movement is very difficult and you may be unable to do it unaided. Use your arms to lightly push off the floor to aid your return to the starting position.",Hamstrings%Calves%Glutes,Body Only
6x,Alien Squat,Beginner,Plyometrics,4541_2.jpg,"1. Position your legs using a very wide stance with the toes slightly pointed out and knees slightly bent. Rest your hands on your hips. Keep your neck neutral and maintain a straight back. This will be your starting position.
2. Descend into a half squat by pushing your hips and butt back. Then push through your heels and jump straight up while simultaneously kicking each leg outward at a 45 degree angle.
3. Land back in the starting position and repeat for the recommended amount of repetitions or time.",Quadriceps%Abductors%Calves%Glutes%Hamstrings,Body Only
xi,All Fours Quad Stretch,Intermediate,Stretching,581_2.jpg,"1. Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand.
2. Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors.
3. Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.",Quadriceps,Body Only
Wo,Alternate Leg Diagonal Bound,Beginner,Plyometrics,760_3.jpg,"1. Assume a comfortable stance with one foot slightly in front of the other.
2. Begin by pushing off with the front leg, driving the opposite knee forward and as high as possible before landing. Attempt to cover as much distance to each side with each bound.
It may help to use a line on the ground to guage distance from side to side.
3. Repeat the sequence with the other leg.",Quadriceps%Abductors%Calves%Glutes%Hamstrings,Body Only
IT,Backward Drag,Beginner,Strongman,728_2.jpg,"1. Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto.
2. Begin the exercise by moving backwards for a given distance. Leaning back, extend through the legs for short steps to move as quickly as possible.",Quadriceps%Calves%Forearms%Glutes%Hamstrings%Lower Back,Weight Sled%Plate
Bm,Barbell Full Squat,Intermediate,Strength,64_2.jpg,"1. This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.
2. Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.
3. Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position.
4. Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement.
5. Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position.
6. Repeat for the recommended amount of repetitions.",Quadriceps%Calves%Glutes%Hamstrings%Lower Back,Barbell
C3,Barbell Hack Squat,Intermediate,Strength,84_1.jpg,"1. Stand up straight while holding a barbell behind you at arms length and your feet at shoulder width. Tip: A shoulder width grip is best with the palms of your hands facing back. You can use wrist wraps for this exercise for a better grip. This will be your starting position.
2. While keeping your head and eyes up and back straight, squat until your upper thighs are parallel to the floor. Breathe in as you slowly go down.
3. Pressing mainly with the heel of the foot and squeezing the thighs, go back up as you breathe out.
4. Repeat for the recommended amount of repetitions.",Quadriceps%Calves%Forearms%Hamstrings,Barbell
vg,Barbell Lunge,Intermediate,Strength,41_2.jpg,"1. This exercise is best performed inside a squat rack for safety purposes. 2. To begin, first set the bar on a rack just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.
3. Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.
4. Step away from the rack and step forward with your right leg and squat down through your hips, while keeping the torso upright and maintaining balance. Inhale as you go down. Note: Do not allow your knee to go forward beyond your toes as you come down, as this will put undue stress on the knee joint. li>
5. Using mainly the heel of your foot, push up and go back to the starting position as you exhale.
6. Repeat the movement for the recommended amount of repetitions and then perform with the left leg.
Caution: This is a movement that requires a great deal of balance so if you suffer from balance problems you may wish to either avoid it or just use your own bodyweight while holding on to a fixed object. Definitely never perform with a barbell on your back if you suffer from balance issues.",Quadriceps%Calves%Glutes%Hamstrings,Barbell
Sl,Barbell Reverse Lunge,Beginner,Strength,4361_2.jpg,"1. Position a weighted bar across your upper back holding the ends with your hands to keep it stable. Alternately, you can do this in a squat rack to more easily get into the starting position. Stand erect with your chest out and your shoulders back, maintaining the natural curve in your back and knees unlocked. Your feet should be about hip width apart. This is your starting position.
2. Staying erect, initiate the movement by stepping back with one foot about 2 feet, keeping your hips facing forward as the toe of your back foot makes contact first. Then allow both knees to bend and descend just short of allowing your trailing knee to touch the floor.
3. Your body should continue to be upright. Don't lean forward or allow you back to round. Press back up by pushing through your back foot maintaining balance as you return to the starting position.
4. Repeat on the opposite side, and repeat for the desired number of repetitions.",Quadriceps%Calves%Glutes%Hamstrings,Barbell
ic,Barbell Side Split,Beginner,Strength,310_2.jpg,"1. Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be placed wide apart with the foot of the lead leg angled out to the side. This will be your starting position.
2. Lower your body towards the side of your angled foot by bending the knee and hip of your lead leg and while keeping the opposite leg only slightly bent. Breathe in as you lower your body.
3. Return to the starting position by extending the hip and knee of the lead leg. Breathe out as you perform this movement.
4. After performing the recommended amount of reps, repeat the movement with the opposite leg.",Quadriceps%Calves%Hamstrings%Lower Back,Barbell
